application,regions,batch,runtime_ns
sha256-fpga,2,25,141046398
sha256-fpga,2,25,209181491
sha256-fpga,2,25,140283489
sha256-fpga,2,25,243566640
sha256-fpga,2,25,209062321
sha256-fpga,2,25,243756401
sha256-fpga,2,25,278560567
sha256-fpga,2,25,105435936
sha256-fpga,2,25,312218543
sha256-fpga,2,25,519546293
sha256-fpga,2,25,312444886
sha256-fpga,2,25,345976168
sha256-fpga,2,25,381901309
sha256-fpga,2,25,485611085
sha256-fpga,2,25,415165485
sha256-fpga,2,25,381013219
sha256-fpga,2,25,415900758
sha256-fpga,2,25,450973670
sha256-fpga,2,25,449790618
sha256-fpga,2,25,485378875
sha256-fpga,2,25,276956781
sha256-fpga,2,25,519199279
